u_number,sex,race,age,high_school,full_part,city,stat_code,zip,pell_grant,camp_code,major,hours_attempted,hours_earned,mc_gpa,pass_engl,pass_math,term_year,summer1,fall,MCPS,HS_classify,hours_earned_rate,unearned_hours
20193679,F,Hispanic,18 - 20,Northwood High School,FT,Silver Spring,MD,20901,Y,T,General Studies,15,7,2.86,Y,N,2020,N,Y,TRUE,MCPS,0.4666666666666667,8
20193680,M,Black / African Am.,18 - 20,Montgomery Blair High School,PT,Silver Spring,MD,20903,Y,R,Business,9,0,0,N,N,2020,N,Y,TRUE,MCPS,0,9
20193681,M,Black / African Am.,18 - 20,Springbrook Sr High School,PT,Silver Spring,MD,20904,N,T,Cybersecurity,11,3,1.5,N,N,2020,N,Y,TRUE,MCPS,0.2727272727272727,8
20193682,M,Black / African Am.,18 - 20,Bethesda Chevy Chase High Schl,FT,Silver Spring,MD,20910,Y,R,General Studies,13,9,1.67,N,Y,2020,N,Y,TRUE,MCPS,0.6923076923076923,4
20193685,M,Hispanic,18 - 20,Albert Einstein HS & MC Art Cn,PT,Silver Spring,MD,20902,N,R,Building Trade,9,3,2,N,N,2020,N,Y,TRUE,MCPS,0.3333333333333333,6
20193687,F,Hispanic,18 - 20,Montgomery Blair High School,PT,Silver Spring,MD,20903,N,T,General Studies,6,0,0,N,N,2020,N,Y,TRUE,MCPS,0,6
20193688,F,Black / African Am.,18 - 20,Springbrook Sr High School,PT,Silver Spring,MD,20901,Y,T,Health Sciences,10,4,2.25,N,N,2020,N,Y,TRUE,MCPS,0.4,6
20193689,F,Asian,18 - 20,Gaithersburg High School,FT,Gaithersburg,MD,20882,N,R,Health Sciences,33,30,3.59,Y,N,2020,N,Y,TRUE,MCPS,0.9090909090909091,3
20193690,F,Black / African Am.,18 - 20,Gaithersburg High School,FT,Gaithersburg,MD,20877,Y,R,General Studies,13,6,2.5,Y,N,2020,N,Y,TRUE,MCPS,0.46153846153846156,7
20193692,M,White,18 - 20,Sherwood High School,FT,Gaithersburg,MD,20879,Y,R,Computer Science,26,26,2.36,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193693,M,Black / African Am.,18 - 20,Montgomery Blair High School,PT,Takoma Park,MD,20912,Y,T,Computer Science,9,1,4,N,N,2020,N,Y,TRUE,MCPS,0.1111111111111111,8
20193694,M,Black / African Am.,18 - 20,Colonel Zadok Magruder HS,PT,Derwood,MD,20855,Y,R,Health Sciences,9,0,0,N,N,2020,N,Y,TRUE,MCPS,0,9
20193695,F,Hispanic,18 - 20,Northwest HS - Germantown,FT,Germantown,MD,20874,Y,G,General Studies,13,4,1.14,N,N,2020,N,Y,TRUE,MCPS,0.3076923076923077,9
20193696,M,White,18 - 20,Northwest HS - Germantown,FT,Germantown,MD,20874,Y,G,Science,16,9,1.8,Y,N,2020,N,Y,TRUE,MCPS,0.5625,7
20193699,M,Asian,< 18,Wheaton High School,FT,Rockville,MD,20853,N,R,General Studies,16,16,4,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193701,M,Multi-Race,< 18,Bethesda Chevy Chase High Schl,FT,Silver Spring,MD,20910,N,R,Network and Wireless Technologies,12,3,0.3,N,N,2020,N,Y,TRUE,MCPS,0.25,9
20193702,M,Black / African Am.,18 - 20,Colonel Zadok Magruder HS,FT,Derwood,MD,20855,Y,G,General Studies,13,7,2,N,N,2020,N,Y,TRUE,MCPS,0.5384615384615384,6
20193705,M,Foreign,18 - 20,Gaithersburg High School,FT,Gaithersburg,MD,20879,N,R,"Health Enhancement, Exercise Science, and
Physical Education",11,1,0.29,N,N,2020,N,Y,TRUE,MCPS,0.09090909090909091,10
20193707,F,Black / African Am.,18 - 20,Richard Montgomery High School,FT,Rockville,MD,20850,Y,R,General Studies,14,12,2,Y,Y,2020,N,Y,TRUE,MCPS,0.8571428571428571,2
20193713,F,Am. Indian / AK Native,18 - 20,Walter Johnson High School,FT,Rockville,MD,20852,Y,R,General Studies,36,36,4,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193714,F,Black / African Am.,18 - 20,Gaithersburg High School,FT,Montgomery Village,MD,20886,Y,G,General Studies,14,10,3.2,Y,Y,2020,N,Y,TRUE,MCPS,0.7142857142857143,4
20193716,F,Unknown,18 - 20,Walter Johnson High School,FT,Bethesda,MD,20814,Y,R,Engineering Science,31,31,3.56,N,Y,2020,N,Y,TRUE,MCPS,1,0
20193719,M,Black / African Am.,18 - 20,Rockville High School,FT,Rockville,MD,20853,Y,R,Business,12,0,0,N,N,2020,N,Y,TRUE,MCPS,0,12
20193721,M,Hispanic,18 - 20,Wheaton High School,PT,Silver Spring,MD,20906,N,T,Architectural Technology,7,3,2,Y,N,2020,N,Y,TRUE,MCPS,0.42857142857142855,4
20193722,M,Black / African Am.,18 - 20,Paint Branch High School,FT,Silver Spring,MD,20904,Y,R,Engineering Science,17,13,2,Y,N,2020,N,Y,TRUE,MCPS,0.7647058823529411,4
20193724,M,Multi-Race,18 - 20,Northwest HS - Germantown,FT,Germantown,MD,20874,N,G,General Studies,28,25,2,N,Y,2020,N,Y,TRUE,MCPS,0.8928571428571429,3
20193726,M,White,18 - 20,Clarksburg High School,PT,Clarksburg,MD,20871,N,R,General Studies,6,6,3.5,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193727,F,Hispanic,18 - 20,Springbrook Sr High School,FT,Silver Spring,MD,20901,N,NA,Science,6,6,4,N,N,2020,N,Y,TRUE,MCPS,1,0
20193728,M,Hispanic,18 - 20,Seneca Valley High School,PT,Germantown,MD,20876,N,G,General Studies,11,1,0.17,N,N,2020,N,Y,TRUE,MCPS,0.09090909090909091,10
20193729,F,Hispanic,18 - 20,Watkins Mill High School,FT,Montgomery Village,MD,20886,Y,G,General Studies,20,20,3.29,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193730,F,White,18 - 20,Richard Montgomery High School,FT,Potomac,MD,20854,N,T,Art,13,13,1.46,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193731,M,Black / African Am.,18 - 20,Walt Whitman High School,FT,Bethesda,MD,20814,N,R,Computer Science,10,6,1.5,N,N,2020,N,Y,TRUE,MCPS,0.6,4
20193732,M,Hispanic,18 - 20,Albert Einstein HS & MC Art Cn,PT,Silver Spring,MD,20902,Y,R,General Studies,6,1,2,N,N,2020,N,Y,TRUE,MCPS,0.16666666666666666,5
20193733,F,Hispanic,18 - 20,Albert Einstein HS & MC Art Cn,PT,Kensington,MD,20895,N,T,General Studies,3,3,3,N,N,2020,N,Y,TRUE,MCPS,1,0
20193734,M,Hispanic,18 - 20,Montgomery Blair High School,FT,Silver Spring,MD,20903,N,T,Computer Gaming and Simulation,12,12,3.5,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193735,M,Black / African Am.,18 - 20,Gaithersburg High School,FT,Gaithersburg,MD,20879,N,R,Business,12,7,2.14,N,N,2020,N,Y,TRUE,MCPS,0.5833333333333334,5
20193740,F,Asian,18 - 20,Bethesda Chevy Chase High Schl,FT,Silver Spring,MD,20904,Y,R,Business,12,6,2,N,N,2020,N,Y,TRUE,MCPS,0.5,6
20193741,M,Foreign,18 - 20,Richard Montgomery High School,FT,Rockville,MD,20851,N,R,General Studies,20,20,2.69,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193742,M,Asian,18 - 20,Damascus High School,FT,Damascus,MD,20872,N,G,Computer Science,16,16,3.81,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193746,F,Foreign,18 - 20,Gaithersburg High School,PT,Gaithersburg,MD,20877,N,R,Art,19,19,3.67,N,N,2020,N,Y,TRUE,MCPS,1,0
20193747,M,Black / African Am.,18 - 20,Walt Whitman High School,PT,North Bethesda,MD,20852,Y,R,Cybersecurity,6,0,0,N,N,2020,N,Y,TRUE,MCPS,0,6
20193748,F,White,18 - 20,Richard Montgomery High School,FT,Rockville,MD,20850,N,R,General Studies,9,9,2.67,N,N,2020,N,Y,TRUE,MCPS,1,0
20193749,M,Hispanic,18 - 20,Winston Churchill High School,FT,Potomac,MD,20854,N,R,General Studies,9,9,4,N,N,2020,N,Y,TRUE,MCPS,1,0
20193750,M,White,18 - 20,Damascus High School,FT,Damascus,MD,20872,N,G,Computer Gaming and Simulation,15,15,2.93,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193753,M,White,18 - 20,Montgomery Blair High School,PT,Takoma Park,MD,20912,N,T,General Studies,11,11,2.36,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193755,F,Multi-Race,18 - 20,Watkins Mill High School,FT,Montgomery Village,MD,20886,Y,R,Art,31,31,4,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193758,M,Asian,18 - 20,Springbrook Sr High School,FT,Silver Spring,MD,20904,Y,R,Business,16,16,3.81,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193761,M,Multi-Race,18 - 20,Montgomery Blair High School,FT,Silver Spring,MD,20906,Y,T,Business,12,7,2.43,N,N,2020,N,Y,TRUE,MCPS,0.5833333333333334,5
20193763,F,Hispanic,18 - 20,Northwood High School,FT,Silver Spring,MD,20902,N,R,General Studies,8,3,1,N,N,2020,N,Y,TRUE,MCPS,0.375,5
20193766,M,Asian,18 - 20,Winston Churchill High School,PT,Bethesda,MD,20817,N,R,General Studies,3,3,2,N,Y,2020,N,Y,TRUE,MCPS,1,0
20193767,M,White,18 - 20,James Hubert Blake High School,PT,Silver Spring,MD,20905,N,R,Science,10,0,0,N,N,2020,N,Y,TRUE,MCPS,0,10
20193769,M,Hispanic,18 - 20,Northwest HS - Germantown,FT,Germantown,MD,20874,N,G,Graphic Design,12,6,1,N,N,2020,N,Y,TRUE,MCPS,0.5,6
20193770,F,Asian,18 - 20,Clarksburg High School,FT,Clarksburg,MD,20871,N,G,General Studies,45,45,3.63,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193771,F,Hispanic,< 18,Montgomery Blair High School,FT,Silver Spring,MD,20902,N,T,General Studies,14,0,0,N,N,2020,N,Y,TRUE,MCPS,0,14
20193772,M,Hispanic,18 - 20,Springbrook Sr High School,FT,Silver Spring,MD,20904,Y,R,Criminal Justice,12,4,0.86,N,N,2020,N,Y,TRUE,MCPS,0.3333333333333333,8
20193773,F,White,18 - 20,Northwood High School,PT,Silver Spring,MD,20902,N,R,International Studies,9,9,3.67,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193778,M,Black / African Am.,18 - 20,Northwest HS - Germantown,FT,Germantown,MD,20874,N,G,General Studies,12,11,2.36,Y,N,2020,N,Y,TRUE,MCPS,0.9166666666666666,1
20193779,M,Foreign,18 - 20,Paint Branch High School,FT,Silver Spring,MD,20903,N,T,Health Sciences,19,19,3.23,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193780,M,Hispanic,18 - 20,Thomas Sprigg Wootton High Sch,PT,Rockville,MD,20850,N,R,General Studies,10,0,0,N,N,2020,N,Y,TRUE,MCPS,0,10
20193781,M,Hispanic,18 - 20,Gaithersburg High School,PT,Gaithersburg,MD,20877,Y,R,Education,10,0,0,N,N,2020,N,Y,TRUE,MCPS,0,10
20193782,F,Hispanic,18 - 20,John F. Kennedy High School,FT,Silver Spring,MD,20901,Y,T,General Studies,12,6,3.5,N,N,2020,N,Y,TRUE,MCPS,0.5,6
20193783,F,Asian,18 - 20,Colonel Zadok Magruder HS,PT,Derwood,MD,20855,N,R,General Studies,6,3,4,Y,N,2020,N,Y,TRUE,MCPS,0.5,3
20193785,F,White,18 - 20,Paint Branch High School,PT,Silver Spring,MD,20905,N,R,Graphic Design,3,3,1,N,N,2020,N,Y,TRUE,MCPS,1,0
