"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"3704","20193884","M","White","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Annapolis","MD","21403","N","T","General Studies",13,11,3.73,"Y","Y","2020","N","Y"
"3705","20193885","F","Foreign","25 - 29","FOREIGN / INTERNATIONAL HS","PT","Potomac","MD","20854","N","R","General Studies",3,0,0,"N","N","2020","N","Y"
"3706","20193886","M","Hispanic","18 - 20","James Hubert Blake High School","FT","Olney","MD","20832","N","R","Business",26,20,1.35,"Y","Y","2020","N","Y"
"3707","20193887","F","Hispanic","18 - 20","Northwood High School","FT","Silver Spring","MD","20905","Y","R","General Studies",15,15,3.8,"Y","Y","2020","N","Y"
"3708","20193888","M","Hispanic","18 - 20","G. E. D.","FT","Rockville","MD","20852","N","R","General Studies",10,4,1.2,"N","N","2020","N","Y"
"3709","20193889","M","Hispanic","18 - 20","Quince Orchard Sr High School","FT","Gaithersburg","MD","20878","N","R","General Studies",13,13,3.46,"Y","Y","2020","N","Y"
"3710","20193890","M","Hispanic","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20904","Y","R","Criminal Justice",11,0,0,"N","N","2020","N","Y"
"3711","20193891","M","Black / African Am.","18 - 20","Out of State High School","PT","Silver Spring","MD","20904","N","T","General Studies",7,0,0,"N","N","2020","N","Y"
"3712","20193892","M","Black / African Am.","18 - 20","High Point Sr High School","PT","Beltsville","MD","20705","N","R","Computer Gaming and Simulation",11,0,0,"N","N","2020","N","Y"
"3713","20193893","F","Am. Indian / AK Native","30 +","FOREIGN / INTERNATIONAL HS","FT","Rockville","MD","20853","Y","R","Education",20,0,0,"N","N","2020","N","Y"
"3714","20193894","F","Foreign","18 - 20","Richard Montgomery High School","FT","Rockville","MD","20850","N","R","Health Sciences",25,25,4,"Y","Y","2020","N","Y"
"3715","20193895","F","Black / African Am.","18 - 20","James Hubert Blake High School","FT","Silver Spring","MD","20904","N","R","Education",12,6,3,"N","N","2020","N","Y"
"3716","20193896","M","White","18 - 20","Bethesda Chevy Chase High Schl","FT","Silver Spring","MD","20901","N","R","Computer Science",18,15,2.75,"Y","N","2020","N","Y"
"3717","20193897","F","Hispanic","18 - 20","Poolesville Jr-Sr High School","PT","Poolesville","MD","20837","N","G","Education",3,0,0,"N","N","2020","N","Y"
"3718","20193898","F","White","18 - 20","Damascus High School","FT","Damascus","MD","20872","N","G","General Studies",14,12,3,"Y","Y","2020","N","Y"
"3719","20193900","F","Hispanic","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","Y","G","General Studies",9,9,1.67,"Y","N","2020","N","Y"
"3720","20193901","F","Asian","18 - 20","Springbrook Sr High School","PT","Silver Spring","MD","20905","Y","R","General Studies",7,6,4,"Y","N","2020","N","Y"
